left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
bph,0.29402953,0.06924063,0.0775771,0.11965865,0.12757389,0.092041545,0.0283562,0.18147779,0.23534623,0.1625517,0.23324302,0.07998708,0.2945016,0.06938326,0.098776475,0.09299325,0.069645554,0.14737818,0.05447499,0.06336303
bpv,0.09916678,0.062551975,0.05129637,0.09100732,0.09743449,0.045907147,0.054130338,0.03656581,0.062002316,0.09282749,0.25898597,0.068858296,0.12143555,0.081336476,0.058481615,0.07210795,0.052795652,0.042137578,0.051169053,0.10034464
bqc,0.09372893,0.20521009,0.082880095,0.10359087,0.10498789,0.09976119,0.14286187,0.21164486,0.11500755,0.19817358,0.0896148,0.18229115,0.17936045,0.059259836,0.095759034,0.18206993,0.1710942,0.2316324,0.086155444,0.2037022
bqp,0.38622594,0.24155268,0.3790796,0.30907795,0.21977895,0.31476417,0.111211106,0.39198372,0.31493127,0.2774657,0.40374213,0.14095989,0.19531952,0.089923784,0.3974043,0.33124822,0.4885468,0.09041402,0.09003364,0.43360686
bqq,0.24675944,0.059760913,0.17013243,0.05554959,0.083089456,0.2837015,0.14720373,0.35295695,0.08416959,0.116984144,0.062346224,0.12280932,0.06749718,0.07158412,0.12293121,0.4120766,0.26980376,0.2886193,0.13972636,0.18307973
brj,0.17519425,0.11643324,0.15430172,0.13404584,0.3579918,0.19602092,0.2933662,0.15102768,0.0477551,0.130593,0.06514585,0.19561043,0.14074509,0.22139362,0.12965333,0.23717257,0.14061894,0.123398565,0.089992195,0.104897134
brr,0.2522744,0.3697193,0.05928266,0.36701018,0.11875896,0.25721017,0.10431543,0.16110677,0.2448072,0.10295431,0.10279609,0.20430239,0.09250632,0.27649245,0.11554472,0.1492822,0.3924141,0.3380742,0.115670055,0.34085602
bug,0.110656194,0.14126204,0.16807905,0.11176636,0.080878854,0.10254012,0.07218794,0.22122559,0.08654334,0.08484937,0.11214062,0.078673884,0.07243772,0.090330616,0.09019153,0.059556805,0.13066679,0.081370786,0.12932569,0.07550088
bul,0.24727233,0.29841363,0.24887104,0.20323145,0.13330916,0.12828441,0.12510857,0.2153494,0.28845572,0.28281066,0.054943196,0.101389594,0.1831331,0.21750313,0.09642479,0.2977812,0.22953361,0.14217271,0.2851187,0.060502186
buw,0.35937908,0.18325871,0.090685375,0.09087375,0.0395218,0.38370222,0.24515912,0.09245576,0.13338502,0.1346124,0.035087965,0.16997157,0.11652553,0.15880059,0.028979287,0.4799372,0.09219654,0.20044813,0.41365942,0.09772516
buy,0.19615659,0.3140297,0.27261156,0.31646767,0.21693987,0.116654396,0.0950986,0.33248237,0.23840654,0.20713624,0.22230569,0.23306185,0.16189243,0.09543636,0.1757817,0.114462346,0.17088379,0.17033336,0.25998032,0.27057654
bvh,0.04336191,0.0954636,0.047638535,0.06661573,0.08418661,0.07666862,0.06854014,0.112867124,0.0932408,0.20798141,0.052640393,0.049528554,0.11357045,0.076218784,0.06294678,0.06331087,0.08647977,0.10756193,0.12806833,0.091393515
bvi,0.24384812,0.3384189,0.32041144,0.19121388,0.081769794,0.26825202,0.48451707,0.19689682,0.21585895,0.14546837,0.06533614,0.26187596,0.60969234,0.22999923,0.7293806,0.16106004,0.1291784,0.23872359,0.2259018,0.23539442
bvs,0.27213785,0.17667237,0.20761646,0.14165844,0.12779294,0.24991073,0.085790895,0.09349993,0.12267821,0.13358942,0.13059172,0.2476987,0.24934126,0.1336439,0.13918161,0.18621823,0.19483931,0.17262334,0.13912895,0.17253733
bvw,0.30518493,0.11273112,0.2680253,0.12284898,0.103503615,0.23799416,0.35667083,0.24128097,0.16554347,0.09774167,0.1830422,0.13058269,0.18661155,0.08517129,0.2791721,0.14291508,0.23598532,0.19349271,0.14057669,0.060779575
